i,j,Median
0,0,0
0,1,20
0,2,20
0,3,11
0,4,11
0,5,17
0,6,11
0,7,18
0,8,17
0,9,11
0,10,18
0,11,17
0,12,14
0,13,18
0,14,20
0,15,11
0,16,12
0,17,11
0,18,20
0,19,11
0,20,11
0,21,11
0,22,18
0,23,18
0,24,11
0,25,17
0,26,5
0,27,11
0,28,11
0,29,18
0,30,17
0,31,17
0,32,11
0,33,17
0,34,17
0,35,17
0,36,18
0,37,17
0,38,11
0,39,17
0,40,11
0,41,17
0,42,17
0,43,7
0,44,17
0,45,11
0,46,11
0,47,17
0,48,11
0,49,17
0,50,11
0,51,11
0,52,13
0,53,18
0,54,11
0,55,18
0,56,11
0,57,18
0,58,11
0,59,11
0,60,17
0,61,20
0,62,11
0,63,11
0,64,18
0,65,18
0,66,19
0,67,18
0,68,14
0,69,17
0,70,17
0,71,17
0,72,13
0,73,11
0,74,17
0,75,11
0,76,20
0,77,11
0,78,5
0,79,17
0,80,11
0,81,18
0,82,18
0,83,11
0,84,12
0,85,20
0,86,17
0,87,11
0,88,14
0,89,17
0,90,18
0,91,18
0,92,11
0,93,17
0,94,18
0,95,17
0,96,18
0,97,17
0,98,18
0,99,20
0,100,18
0,101,18
0,102,18
0,103,18
0,104,32
0,105,14
0,106,19
0,107,17
0,108,17
0,109,11
0,110,17
0,111,17
0,112,17
0,113,18
0,114,11
0,115,0
1,0,20
1,1,0
1,2,0
1,3,22.2
1,4,20.6
1,5,2
1,6,20.6
1,7,10.2
1,8,2
1,9,22.2
1,10,4.6
1,11,2
1,12,6.7
1,13,4.6
1,14,4
1,15,20.6
1,16,7
1,17,22.2
1,18,0
1,19,20.6
1,20,19
1,21,20.6
1,22,4.6
1,23,4.6
1,24,22.2
1,25,2
1,26,29.2
1,27,20.6
1,28,20.6
1,29,4.6
1,30,2
1,31,2
1,32,22.2
1,33,2
1,34,2
1,35,2
1,36,4.6
1,37,2
1,38,22.2
1,39,2
1,40,22.2
1,41,2
1,42,2
1,43,14
1,44,2
1,45,22.2
1,46,22.2
1,47,2
1,48,22.2
1,49,2
1,50,22.2
1,51,22.2
1,52,25.4
1,53,4.6
1,54,22.2
1,55,4.6
1,56,22.2
1,57,4.6
1,58,20.6
1,59,20.6
1,60,2
1,61,0
1,62,22.2
1,63,19
1,64,4.6
1,65,4.6
1,66,30.3
1,67,10.2
1,68,19.4
1,69,2
1,70,2
1,71,2
1,72,25.4
1,73,20.6
1,74,2
1,75,20.6
1,76,0
1,77,20.6
1,78,29.2
1,79,2
1,80,22.2
1,81,4.6
1,82,4.6
1,83,20.6
1,84,7
1,85,0
1,86,2
1,87,22.2
1,88,19.4
1,89,2
1,90,4.6
1,91,4.6
1,92,22.2
1,93,2
1,94,4.6
1,95,2
1,96,4.6
1,97,2
1,98,4.6
1,99,4
1,100,4.6
1,101,4.6
1,102,4.6
1,103,4.6
1,104,40.5
1,105,19.4
1,106,18
1,107,2
1,108,2
1,109,20.6
1,110,2
1,111,2
1,112,2
