i,di
0,0
1,13
2,16
3,21
4,14
5,22
6,22
7,3
8,29
9,21
10,7
11,38
12,13
13,9
14,18
15,18
16,15
17,19
18,10
19,8
20,19
21,9
22,16
23,0
24,10
25,16
26,6
27,7
28,9
29,20
30,21
31,12
32,23
33,0
34,15
35,18
36,34
37,43
38,13
39,102
40,13
41,10
42,0
43,15
44,11
45,20
46,18
47,22
48,18
49,15
50,20
51,15
52,18
53,18
54,18
55,25
56,0
57,15
58,15
59,10
60,31
61,23
62,15
63,19
64,9
65,10
66,0
67,4
68,7
69,40
70,14
71,18
72,18
73,11
74,16
75,5
76,7
77,0
78,2
79,16
80,10
81,15
82,15
83,4
84,11
85,2
86,14
87,16
88,8
89,11
90,19
91,18
92,11
93,22
94,34
95,18
96,18
97,21
98,9
99,9
100,9
101,15
102,18
103,12
104,11
105,11
106,18
107,16
108,14
109,18
110,18
111,18
112,17
113,10
114,14
115,0
